site,informant,threat,rank_threat
Atala Kamusio,ATA4,Agricultural expansion,4
Atala Kamusio,ATA5,Agricultural expansion,3
Atala Kamusio,ATA6,Agricultural expansion,2
Atala Kamusio,ATA7,Agricultural expansion,3
Atala Kamusio,ATA8,Agricultural expansion,1
Atala Kamusio,ATA9,Agricultural expansion,4
Atala Kamusio,ATA10,Agricultural expansion,3
Atala Kamusio,ATA11,Agricultural expansion,4
Atala Kamusio,ATA12,Agricultural expansion,1
Atala Kamusio,ATA13,Agricultural expansion,3
Atala Kamusio,ATA14,Agricultural expansion,1
Atala Kamusio,ATA1,Overstocking/overgrazing,8
Atala Kamusio,ATA2,Overstocking/overgrazing,7
Atala Kamusio,ATA3,Overstocking/overgrazing,9
Atala Kamusio,ATA4,Overstocking/overgrazing,6
Atala Kamusio,ATA5,Overstocking/overgrazing,5
Atala Kamusio,ATA6,Overstocking/overgrazing,7
Atala Kamusio,ATA7,Overstocking/overgrazing,10
Atala Kamusio,ATA8,Overstocking/overgrazing,6
Atala Kamusio,ATA9,Overstocking/overgrazing,8
Atala Kamusio,ATA10,Overstocking/overgrazing,6
Atala Kamusio,ATA11,Overstocking/overgrazing,9
Atala Kamusio,ATA12,Overstocking/overgrazing,5
Atala Kamusio,ATA13,Overstocking/overgrazing,3
Atala Kamusio,ATA14,Overstocking/overgrazing,4
Atala Kamusio,ATA1,Fuelwood collection/charcoal burning,6
Atala Kamusio,ATA2,Fuelwood collection/charcoal burning,7
Atala Kamusio,ATA3,Fuelwood collection/charcoal burning,4
Atala Kamusio,ATA4,Fuelwood collection/charcoal burning,3
Atala Kamusio,ATA5,Fuelwood collection/charcoal burning,3
Atala Kamusio,ATA6,Fuelwood collection/charcoal burning,6
Atala Kamusio,ATA7,Fuelwood collection/charcoal burning,4
Atala Kamusio,ATA8,Fuelwood collection/charcoal burning,6
Atala Kamusio,ATA9,Fuelwood collection/charcoal burning,5
Atala Kamusio,ATA10,Fuelwood collection/charcoal burning,4
Atala Kamusio,ATA11,Fuelwood collection/charcoal burning,7
Atala Kamusio,ATA12,Fuelwood collection/charcoal burning,5
Atala Kamusio,ATA13,Fuelwood collection/charcoal burning,4
Atala Kamusio,ATA14,Fuelwood collection/charcoal burning,5
Atala Kamusio,ATA1,Uncontrolled fire,2
Atala Kamusio,ATA2,Uncontrolled fire,1
Atala Kamusio,ATA3,Uncontrolled fire,2
Atala Kamusio,ATA4,Uncontrolled fire,1
Atala Kamusio,ATA5,Uncontrolled fire,1
Atala Kamusio,ATA6,Uncontrolled fire,2
Atala Kamusio,ATA7,Uncontrolled fire,3
Atala Kamusio,ATA8,Uncontrolled fire,1
Atala Kamusio,ATA9,Uncontrolled fire,3
Atala Kamusio,ATA10,Uncontrolled fire,3
Atala Kamusio,ATA11,Uncontrolled fire,2
Atala Kamusio,ATA12,Uncontrolled fire,1
Atala Kamusio,ATA13,Uncontrolled fire,1
Atala Kamusio,ATA14,Uncontrolled fire,2
Atala Kamusio,ATA1,Selective harvesting/Overharvesting,4
Atala Kamusio,ATA2,Selective harvesting/Overharvesting,2
Atala Kamusio,ATA3,Selective harvesting/Overharvesting,3
Atala Kamusio,ATA4,Selective harvesting/Overharvesting,7
Atala Kamusio,ATA5,Selective harvesting/Overharvesting,8
Atala Kamusio,ATA6,Selective harvesting/Overharvesting,7
Atala Kamusio,ATA7,Selective harvesting/Overharvesting,6
Atala Kamusio,ATA8,Selective harvesting/Overharvesting,4
Atala Kamusio,ATA9,Selective harvesting/Overharvesting,4
Atala Kamusio,ATA10,Selective harvesting/Overharvesting,6
Atala Kamusio,ATA11,Selective harvesting/Overharvesting,5
Atala Kamusio,ATA12,Selective harvesting/Overharvesting,8
Atala Kamusio,ATA13,Selective harvesting/Overharvesting,8
Atala Kamusio,ATA14,Selective harvesting/Overharvesting,4
Atala Kamusio,ATA1,Invasive species,9
Atala Kamusio,ATA2,Invasive species,8
Atala Kamusio,ATA3,Invasive species,8
Atala Kamusio,ATA4,Invasive species,8
