site,informant,management,potential_rank
Nasiger,NAS3,Assess nutrition and toxicity,10
Nasiger,NAS4,Assess nutrition and toxicity,8
Nasiger,NAS5,Assess nutrition and toxicity,6
Nasiger,NAS6,Assess nutrition and toxicity,9
Nasiger,NAS7,Assess nutrition and toxicity,8
Nasiger,NAS8,Assess nutrition and toxicity,6
Nasiger,NAS9,Assess nutrition and toxicity,7
Nasiger,NAS10,Assess nutrition and toxicity,8
Nasiger,NAS11,Assess nutrition and toxicity,9
Nasiger,NAS12,Assess nutrition and toxicity,9
Nasiger,NAS13,Assess nutrition and toxicity,7
Nasiger,NAS14,Assess nutrition and toxicity,10
Nasiger,NAS1,"Selection, propagation, processing and marketing",10
Nasiger,NAS2,"Selection, propagation, processing and marketing",6
Nasiger,NAS3,"Selection, propagation, processing and marketing",9
Nasiger,NAS4,"Selection, propagation, processing and marketing",6
Nasiger,NAS5,"Selection, propagation, processing and marketing",6
Nasiger,NAS6,"Selection, propagation, processing and marketing",7
Nasiger,NAS7,"Selection, propagation, processing and marketing",6
Nasiger,NAS8,"Selection, propagation, processing and marketing",12
Nasiger,NAS9,"Selection, propagation, processing and marketing",7
Nasiger,NAS10,"Selection, propagation, processing and marketing",6
Nasiger,NAS11,"Selection, propagation, processing and marketing",11
Nasiger,NAS12,"Selection, propagation, processing and marketing",8
Nasiger,NAS13,"Selection, propagation, processing and marketing",6
Nasiger,NAS14,"Selection, propagation, processing and marketing",10
Nasiger,NAS1,Mitigate climate change,12
Nasiger,NAS2,Mitigate climate change,9
Nasiger,NAS3,Mitigate climate change,6
Nasiger,NAS4,Mitigate climate change,9
Nasiger,NAS5,Mitigate climate change,7
Nasiger,NAS6,Mitigate climate change,8
Nasiger,NAS7,Mitigate climate change,10
Nasiger,NAS8,Mitigate climate change,10
Nasiger,NAS9,Mitigate climate change,6
Nasiger,NAS10,Mitigate climate change,10
Nasiger,NAS11,Mitigate climate change,5
Nasiger,NAS12,Mitigate climate change,6
Nasiger,NAS13,Mitigate climate change,6
Nasiger,NAS14,Mitigate climate change,9
Nasiger,NAS1,Others,4
Nasiger,NAS2,Others,2
Nasiger,NAS3,Others,2
Nasiger,NAS4,Others,2
Nasiger,NAS5,Others,4
Nasiger,NAS6,Others,3
Nasiger,NAS7,Others,2
Nasiger,NAS8,Others,2
Nasiger,NAS9,Others,1
Nasiger,NAS10,Others,3
Nasiger,NAS11,Others,2
Nasiger,NAS12,Others,4
Nasiger,NAS13,Others,4
Nasiger,NAS14,Others,4
Atala Kamusio,ATA1,Monitor and inventor,1
Atala Kamusio,ATA2,Monitor and inventor,3
Atala Kamusio,ATA3,Monitor and inventor,3
Atala Kamusio,ATA4,Monitor and inventor,2
Atala Kamusio,ATA5,Monitor and inventor,1
Atala Kamusio,ATA6,Monitor and inventor,2
Atala Kamusio,ATA7,Monitor and inventor,2
Atala Kamusio,ATA8,Monitor and inventor,4
Atala Kamusio,ATA9,Monitor and inventor,1
Atala Kamusio,ATA10,Monitor and inventor,3
Atala Kamusio,ATA11,Monitor and inventor,4
Atala Kamusio,ATA12,Monitor and inventor,4
Atala Kamusio,ATA13,Monitor and inventor,4
Atala Kamusio,ATA14,Monitor and inventor,1
Atala Kamusio,ATA1,Establish protected areas,4
Atala Kamusio,ATA2,Establish protected areas,4
Atala Kamusio,ATA3,Establish protected areas,1
Atala Kamusio,ATA4,Establish protected areas,2
Atala Kamusio,ATA5,Establish protected areas,1
Atala Kamusio,ATA6,Establish protected areas,6
Atala Kamusio,ATA7,Establish protected areas,3
Atala Kamusio,ATA8,Establish protected areas,5
Atala Kamusio,ATA9,Establish protected areas,5
Atala Kamusio,ATA10,Establish protected areas,2
Atala Kamusio,ATA11,Establish protected areas,2
Atala Kamusio,ATA12,Establish protected areas,3
Atala Kamusio,ATA13,Establish protected areas,2
Atala Kamusio,ATA14,Establish protected areas,6
Atala Kamusio,ATA1,Prohibit charcoal burning,11
Atala Kamusio,ATA2,Prohibit charcoal burning,9
Atala Kamusio,ATA3,Prohibit charcoal burning,9
Atala Kamusio,ATA4,Prohibit charcoal burning,10
Atala Kamusio,ATA5,Prohibit charcoal burning,8
Atala Kamusio,ATA6,Prohibit charcoal burning,9
Atala Kamusio,ATA7,Prohibit charcoal burning,8
Atala Kamusio,ATA8,Prohibit charcoal burning,10
Atala Kamusio,ATA9,Prohibit charcoal burning,12
Atala Kamusio,ATA10,Prohibit charcoal burning,10
Atala Kamusio,ATA11,Prohibit charcoal burning,8
Atala Kamusio,ATA12,Prohibit charcoal burning,10
Atala Kamusio,ATA13,Prohibit charcoal burning,11
Atala Kamusio,ATA14,Prohibit charcoal burning,11
Atala Kamusio,ATA1,Create public awareness on WEPs,8
Atala Kamusio,ATA2,Create public awareness on WEPs,11
