plot_id,site,threat,rank_threat
ATA_49,Atala Kamusio,Agricultural expansion,3
ATA_50,Atala Kamusio,Agricultural expansion,1
ATA_51,Atala Kamusio,Agricultural expansion,3
ATA_52,Atala Kamusio,Agricultural expansion,3
ATA_53,Atala Kamusio,Agricultural expansion,3
ATA_54,Atala Kamusio,Agricultural expansion,3
ATA_55,Atala Kamusio,Agricultural expansion,3
ATA_56,Atala Kamusio,Agricultural expansion,1
ATA_57,Atala Kamusio,Agricultural expansion,2
ATA_58,Atala Kamusio,Agricultural expansion,2
ATA_59,Atala Kamusio,Agricultural expansion,1
ATA_60,Atala Kamusio,Agricultural expansion,3
ATA_61,Atala Kamusio,Agricultural expansion,2
ATA_62,Atala Kamusio,Agricultural expansion,1
ATA_63,Atala Kamusio,Agricultural expansion,3
ATA_64,Atala Kamusio,Agricultural expansion,3
ATA_65,Atala Kamusio,Agricultural expansion,2
ATA_66,Atala Kamusio,Agricultural expansion,1
ATA_67,Atala Kamusio,Agricultural expansion,3
ATA_68,Atala Kamusio,Agricultural expansion,3
ATA_69,Atala Kamusio,Agricultural expansion,2
ATA_70,Atala Kamusio,Agricultural expansion,1
ATA_71,Atala Kamusio,Agricultural expansion,2
ATA_72,Atala Kamusio,Agricultural expansion,3
ATA_73,Atala Kamusio,Agricultural expansion,2
ATA_74,Atala Kamusio,Agricultural expansion,3
ATA_75,Atala Kamusio,Agricultural expansion,1
ATA_76,Atala Kamusio,Agricultural expansion,3
ATA_77,Atala Kamusio,Agricultural expansion,1
ATA_78,Atala Kamusio,Agricultural expansion,1
ATA_79,Atala Kamusio,Agricultural expansion,1
ATA_80,Atala Kamusio,Agricultural expansion,2
LOP_1,Lopur,Agricultural expansion,9
LOP_2,Lopur,Agricultural expansion,8
LOP_3,Lopur,Agricultural expansion,10
LOP_4,Lopur,Agricultural expansion,8
LOP_5,Lopur,Agricultural expansion,8
LOP_6,Lopur,Agricultural expansion,7
LOP_7,Lopur,Agricultural expansion,10
LOP_8,Lopur,Agricultural expansion,8
LOP_9,Lopur,Agricultural expansion,7
LOP_10,Lopur,Agricultural expansion,8
LOP_11,Lopur,Agricultural expansion,6
LOP_12,Lopur,Agricultural expansion,8
LOP_13,Lopur,Agricultural expansion,9
LOP_14,Lopur,Agricultural expansion,9
LOP_15,Lopur,Agricultural expansion,9
LOP_16,Lopur,Agricultural expansion,8
LOP_17,Lopur,Agricultural expansion,8
LOP_18,Lopur,Agricultural expansion,10
LOP_19,Lopur,Agricultural expansion,9
LOP_20,Lopur,Agricultural expansion,10
LOP_21,Lopur,Agricultural expansion,6
LOP_22,Lopur,Agricultural expansion,6
LOP_23,Lopur,Agricultural expansion,10
LOP_24,Lopur,Agricultural expansion,9
LOP_25,Lopur,Agricultural expansion,10
LOP_26,Lopur,Agricultural expansion,6
LOP_27,Lopur,Agricultural expansion,9
LOP_28,Lopur,Agricultural expansion,7
LOP_29,Lopur,Agricultural expansion,7
LOP_30,Lopur,Agricultural expansion,7
LOP_31,Lopur,Agricultural expansion,9
LOP_32,Lopur,Agricultural expansion,10
LOP_33,Lopur,Agricultural expansion,9
LOP_34,Lopur,Agricultural expansion,6
LOP_35,Lopur,Agricultural expansion,8
LOP_36,Lopur,Agricultural expansion,7
LOP_37,Lopur,Agricultural expansion,8
LOP_38,Lopur,Agricultural expansion,8
LOP_39,Lopur,Agricultural expansion,9
LOP_40,Lopur,Agricultural expansion,6
LOP_41,Lopur,Agricultural expansion,9
LOP_42,Lopur,Agricultural expansion,10
LOP_43,Lopur,Agricultural expansion,8
LOP_44,Lopur,Agricultural expansion,8
LOP_45,Lopur,Agricultural expansion,10
LOP_46,Lopur,Agricultural expansion,9
LOP_47,Lopur,Agricultural expansion,9
LOP_48,Lopur,Agricultural expansion,8
LOP_49,Lopur,Agricultural expansion,9
LOP_50,Lopur,Agricultural expansion,10
LOP_51,Lopur,Agricultural expansion,8
LOP_52,Lopur,Agricultural expansion,7
LOP_53,Lopur,Agricultural expansion,9
LOP_54,Lopur,Agricultural expansion,6
LOP_55,Lopur,Agricultural expansion,6
LOP_56,Lopur,Agricultural expansion,7
LOP_57,Lopur,Agricultural expansion,10
LOP_58,Lopur,Agricultural expansion,7
LOP_59,Lopur,Agricultural expansion,10
LOP_60,Lopur,Agricultural expansion,10
LOP_61,Lopur,Agricultural expansion,6
LOP_62,Lopur,Agricultural expansion,9
LOP_63,Lopur,Agricultural expansion,9
LOP_64,Lopur,Agricultural expansion,7
LOP_65,Lopur,Agricultural expansion,9
LOP_66,Lopur,Agricultural expansion,8
LOP_67,Lopur,Agricultural expansion,7
LOP_68,Lopur,Agricultural expansion,9
LOP_69,Lopur,Agricultural expansion,8
LOP_70,Lopur,Agricultural expansion,9
LOP_71,Lopur,Agricultural expansion,8
LOP_72,Lopur,Agricultural expansion,8
LOP_73,Lopur,Agricultural expansion,7
LOP_74,Lopur,Agricultural expansion,7
LOP_75,Lopur,Agricultural expansion,7
LOP_76,Lopur,Agricultural expansion,8
LOP_77,Lopur,Agricultural expansion,9
LOP_78,Lopur,Agricultural expansion,9
LOP_79,Lopur,Agricultural expansion,9
LOP_80,Lopur,Agricultural expansion,9
"NAS_1",Nasiger,Overstocking/overgrazing,5
"NAS_2",Nasiger,Overstocking/overgrazing,7
"NAS_3",Nasiger,Overstocking/overgrazing,7
"NAS_4",Nasiger,Overstocking/overgrazing,9
"NAS_5",Nasiger,Overstocking/overgrazing,9
"NAS_6",Nasiger,Overstocking/overgrazing,5
"NAS_7",Nasiger,Overstocking/overgrazing,7
"NAS_8",Nasiger,Overstocking/overgrazing,9
"NAS_9",Nasiger,Overstocking/overgrazing,5
"NAS_10",Nasiger,Overstocking/overgrazing,8
"NAS_11",Nasiger,Overstocking/overgrazing,9
"NAS_12",Nasiger,Overstocking/overgrazing,9
"NAS_13",Nasiger,Overstocking/overgrazing,9
"NAS_14",Nasiger,Overstocking/overgrazing,7
"NAS_15",Nasiger,Overstocking/overgrazing,6
"NAS_16",Nasiger,Overstocking/overgrazing,8
"NAS_17",Nasiger,Overstocking/overgrazing,8
"NAS_18",Nasiger,Overstocking/overgrazing,8
"NAS_19",Nasiger,Overstocking/overgrazing,9
"NAS_20",Nasiger,Overstocking/overgrazing,6
"NAS_21",Nasiger,Overstocking/overgrazing,9
"NAS_22",Nasiger,Overstocking/overgrazing,7
"NAS_23",Nasiger,Overstocking/overgrazing,8
"NAS_24",Nasiger,Overstocking/overgrazing,8
"NAS_25",Nasiger,Overstocking/overgrazing,5
"NAS_26",Nasiger,Overstocking/overgrazing,8
"NAS_27",Nasiger,Overstocking/overgrazing,9
"NAS_28",Nasiger,Overstocking/overgrazing,9
"NAS_29",Nasiger,Overstocking/overgrazing,5
"NAS_30",Nasiger,Overstocking/overgrazing,6
"NAS_31",Nasiger,Overstocking/overgrazing,9
"NAS_32",Nasiger,Overstocking/overgrazing,5
"NAS_33",Nasiger,Overstocking/overgrazing,5
"NAS_34",Nasiger,Overstocking/overgrazing,9
"NAS_35",Nasiger,Overstocking/overgrazing,9
"NAS_36",Nasiger,Overstocking/overgrazing,4
"NAS_37",Nasiger,Overstocking/overgrazing,7
"NAS_38",Nasiger,Overstocking/overgrazing,8
"NAS_39",Nasiger,Overstocking/overgrazing,6
"NAS_40",Nasiger,Overstocking/overgrazing,4
"NAS_41",Nasiger,Overstocking/overgrazing,8
"NAS_42",Nasiger,Overstocking/overgrazing,6
"NAS_43",Nasiger,Overstocking/overgrazing,7
"NAS_44",Nasiger,Overstocking/overgrazing,4
"NAS_45",Nasiger,Overstocking/overgrazing,6
"NAS_46",Nasiger,Overstocking/overgrazing,9
"NAS_47",Nasiger,Overstocking/overgrazing,7
"NAS_48",Nasiger,Overstocking/overgrazing,5
